Entity,Code,Primary energy consumption per capita (kWh/person),Year
Iraq,IRQ,14121.946,2020
Iraq,IRQ,16002.357,2024
Ireland,IRL,35439.918,2020
Ireland,IRL,34593.98,2024
Israel,ISR,32400.352,2020
Israel,ISR,29591.316,2024
Italy,ITA,27764.078,2020
Italy,ITA,28584.518,2024
Jamaica,JAM,10243.102,2020
Jamaica,,12336.739,2023
Japan,JPN,38203.22,2020
Japan,JPN,38745.04,2024
Jordan,JOR,9092.539,2020
Jordan,,9644.626,2023
Kazakhstan,KAZ,37774.996,2020
Kazakhstan,KAZ,41865.195,2024
Kenya,KEN,1565.2426,2020
Kenya,,1607.9135,2023
Kiribati,KIR,2468.371,2020
Kiribati,,2513.8413,2023
Kosovo,OWID_KOS,16199.065,2020
Kosovo,,15770.582,2023
Kuwait,KWT,95378.4,2020
Kuwait,KWT,106398.59,2024
Kyrgyzstan,KGZ,6303.2896,2020
Kyrgyzstan,,8082.865,2023
Laos,LAO,9094.3545,2020
Laos,,10100.14,2023
Latvia,LVA,21682.367,2020
Latvia,LVA,20722.363,2024
Lebanon,LBN,17183.104,2020
Lebanon,,12632.702,2023
Lesotho,LSO,1613.1987,2020
Lesotho,,2378.8113,2023
Liberia,LBR,548.4269,2020
Liberia,,533.9603,2023
Libya,LBY,25440.334,2020
Libya,,29554.363,2023
Lithuania,LTU,25143.193,2020
Lithuania,LTU,25660.39,2024
Luxembourg,LUX,64289.547,2020
Luxembourg,LUX,59047.88,2024
Madagascar,MDG,409.26163,2020
Madagascar,,532.2019,2023
Malawi,MWI,400.50198,2020
Malawi,,525.15204,2023
Malaysia,MYS,35317.523,2020
Malaysia,MYS,38865.867,2024
Maldives,MDV,10117.3125,2020
Maldives,,14912.831,2023
Mali,MLI,1235.452,2020
Mali,,1262.197,2023
Malta,MLT,71572.87,2020
Malta,,71107.69,2023
Mauritania,MRT,4025.4543,2020
Mauritania,,4142.4756,2023
Mauritius,MUS,17047.527,2020
Mauritius,,17639.248,2023
Mexico,MEX,16329.474,2020
Mexico,MEX,17653.777,2024
Micronesia (country),FSM,4218.897,2020
Micronesia (country),,4428.093,2023
Moldova,MDA,12957.657,2020
Moldova,,11903.726,2023
Mongolia,MNG,18992.549,2020
Mongolia,,19674.547,2023
Montenegro,MNE,16967.13,2020
Montenegro,,18582.63,2023
Morocco,MAR,6625.93,2020
Morocco,MAR,7256.846,2024
Mozambique,MOZ,1476.7981,2020
Mozambique,,1696.6578,2023
Myanmar,MMR,2892.3472,2020
Myanmar,,2457.1128,2023
Namibia,NAM,6684.0723,2020
Namibia,,6369.585,2023
Nauru,NRU,26711.46,2020
Nauru,,29242.105,2023
Nepal,NPL,1574.5149,2020
Nepal,,1935.3121,2023
Netherlands,NLD,56095.61,2020
Netherlands,NLD,50824.402,2024
New Caledonia,NCL,67648.06,2020
New Caledonia,,63832.758,2023
New Zealand,NZL,47200.766,2020
New Zealand,NZL,44711.75,2024
Nicaragua,NIC,2969.38,2020
Nicaragua,,3124.2483,2023
Niger,NER,464.73636,2020
Niger,,519.35846,2023
Nigeria,NGA,2221.5488,2020
Nigeria,,2342.6387,2023
North Korea,PRK,8332.383,2020
North Korea,,6983.9766,2023
North Macedonia,MKD,14801.113,2020
North Macedonia,MKD,16219.917,2024
Norway,NOR,103430.57,2020
Norway,NOR,99634.31,2024
Oman,OMN,79945.42,2020
Oman,OMN,84610.64,2024
Pakistan,PAK,4083.671,2020
Pakistan,PAK,3535.5425,2024
Palestine,PSE,4169.636,2020
Palestine,,4393.3086,2023
Panama,PAN,19829.697,2020
Panama,,22862.531,2023
Papua New Guinea,PNG,2062.187,2020
Papua New Guinea,,2573.4968,2023
Paraguay,PRY,7560.656,2020
Paraguay,,7541.671,2023
Peru,PER,8766.572,2020
Peru,PER,10941.455,2024
Philippines,PHL,4583.8,2020
Philippines,PHL,5633.132,2024
Poland,POL,29845.54,2020
Poland,POL,29205.824,2024
Portugal,PRT,25577.088,2020
Portugal,PRT,25921.791,2024
Puerto Rico,PRI,21308.352,2020
Puerto Rico,,25288.041,2023
Qatar,QAT,183122.62,2020
Qatar,QAT,214520.3,2024
Romania,ROU,19053.2,2020
Romania,ROU,18694.158,2024
Russia,RUS,55172.793,2020
Russia,RUS,62485.312,2024
Rwanda,RWA,439.89426,2020
Rwanda,,529.7918,2023
Saint Kitts and Nevis,KNA,22395.14,2020
Saint Kitts and Nevis,,23859.037,2023
Saint Lucia,LCA,13442.011,2020
Saint Lucia,,13926.932,2023
Saint Vincent and the Grenadines,VCT,10105.646,2020
Saint Vincent and the Grenadines,,10916.865,2023
Samoa,WSM,6422.969,2020
Samoa,,6879.8896,2023
Sao Tome and Principe,STP,2926.469,2020
Sao Tome and Principe,,2600.9995,2023
Saudi Arabia,SAU,93195.88,2020
Saudi Arabia,SAU,96883.31,2024
Senegal,SEN,2213.902,2020
Senegal,,2433.2778,2023
Serbia,SRB,25773.5,2020
Serbia,,26332.174,2023
Seychelles,SYC,29880.9,2020
Seychelles,,28967.066,2023
Sierra Leone,SLE,580.41565,2020
Sierra Leone,,674.46545,2023
Singapore,SGP,162517.11,2020
Singapore,SGP,180701.45,2024
Slovakia,SVK,33203.387,2020
Slovakia,SVK,32882.68,2024
Slovenia,SVN,36764.934,2020
Slovenia,SVN,37360.676,2024
Solomon Islands,SLB,1751.7308,2020
Solomon Islands,,1657.2433,2023
Somalia,SOM,191.21935,2020
Somalia,,190.11856,2023
South Africa,ZAF,23110.006,2020
South Africa,ZAF,21286.549,2024
South Korea,KOR,65364.605,2020
South Korea,KOR,69922.41,2024
South Sudan,SSD,628.45593,2020
South Sudan,,613.11176,2023
Spain,ESP,29844.283,2020
Spain,ESP,33901.656,2024
Sri Lanka,LKA,4653.0293,2020
Sri Lanka,LKA,4819.1953,2024
Sudan,SDN,1732.9142,2020
Sudan,,1800.9769,2023
Suriname,SUR,15335.176,2020
Suriname,,17846.547,2023
Sweden,SWE,57977.38,2020
Sweden,SWE,57509.574,2024
Switzerland,CHE,35831.17,2020
Switzerland,CHE,38025.83,2024
Syria,SYR,5342.43,2020
Syria,,3976.7585,2023
Taiwan,TWN,54479.203,2020
Taiwan,TWN,54012.633,2024
Tajikistan,TJK,4753.2974,2020
Tajikistan,,4745.2627,2023
Tanzania,TZA,974.7799,2020
Tanzania,,1199.0846,2023
Thailand,THA,19257.477,2020
Thailand,THA,19825.014,2024
Togo,TGO,1042.0377,2020
Togo,,1329.8417,2023
Tonga,TON,7485.4766,2020
Tonga,,6819.3506,2023
Trinidad and Tobago,TTO,114341.89,2020
Trinidad and Tobago,TTO,105988.44,2024
Tunisia,TUN,9381.091,2020
Tunisia,,9892.207,2023
Turkey,TUR,21161.5,2020
Turkey,TUR,23927.826,2024
Turkmenistan,TKM,63923.27,2020
Turkmenistan,TKM,49524.95,2024
Tuvalu,TUV,0.0,2020
Tuvalu,,0.0,2023
Uganda,UGA,613.9017,2020
Uganda,,660.0664,2023
Ukraine,UKR,20556.209,2020
Ukraine,UKR,15875.597,2024
United Arab Emirates,ARE,125363.31,2020
United Arab Emirates,ARE,138026.48,2024
United Kingdom,GBR,29440.059,2020
United Kingdom,GBR,28015.771,2024
United States,USA,72562.67,2020
United States,USA,76799.57,2024
Uruguay,URY,12850.293,2020
Uruguay,,13409.495,2023
Uzbekistan,UZB,16072.522,2020
Uzbekistan,UZB,19129.268,2024
Vanuatu,VUT,3630.9739,2020
Vanuatu,,3790.5647,2023
Venezuela,VEN,18557.822,2020
Venezuela,VEN,24591.875,2024
Vietnam,VNM,12527.92,2020
Vietnam,VNM,14618.14,2024
Western Sahara,ESH,1890.821,2020
Western Sahara,,2020.2874,2023
Yemen,YEM,918.66547,2020
Yemen,,875.5177,2023
Zambia,ZMB,2019.7283,2020
Zambia,,2422.2598,2023
Zimbabwe,ZWE,2163.0684,2020
Zimbabwe,,3181.361,2023
