Entity,Code,Year,Primary energy consumption per capita (kWh/person),time
Ireland,IRL,2020,35439.918,2020
Ireland,IRL,2024,34593.98,2024
Israel,ISR,2020,32400.352,2020
Israel,ISR,2024,29591.316,2024
Italy,ITA,2020,27764.078,2020
Italy,ITA,2024,28584.518,2024
Jamaica,JAM,2020,10243.102,2020
Jamaica,,,12336.739,2023
Japan,JPN,2020,38203.22,2020
Japan,JPN,2024,38745.04,2024
Jordan,JOR,2020,9092.539,2020
Jordan,,,9644.626,2023
Kazakhstan,KAZ,2020,37774.996,2020
Kazakhstan,KAZ,2024,41865.195,2024
Kenya,KEN,2020,1565.2426,2020
Kenya,,,1607.9135,2023
Kiribati,KIR,2020,2468.371,2020
Kiribati,,,2513.8413,2023
Kosovo,OWID_KOS,2020,16199.065,2020
Kosovo,,,15770.582,2023
Kuwait,KWT,2020,95378.4,2020
Kuwait,KWT,2024,106398.59,2024
Kyrgyzstan,KGZ,2020,6303.2896,2020
Kyrgyzstan,,,8082.865,2023
Laos,LAO,2020,9094.3545,2020
Laos,,,10100.14,2023
Latvia,LVA,2020,21682.367,2020
Latvia,LVA,2024,20722.363,2024
Lebanon,LBN,2020,17183.104,2020
Lebanon,,,12632.702,2023
Lesotho,LSO,2020,1613.1987,2020
Lesotho,,,2378.8113,2023
Liberia,LBR,2020,548.4269,2020
Liberia,,,533.9603,2023
Libya,LBY,2020,25440.334,2020
Libya,,,29554.363,2023
Lithuania,LTU,2020,25143.193,2020
Lithuania,LTU,2024,25660.39,2024
Luxembourg,LUX,2020,64289.547,2020
Luxembourg,LUX,2024,59047.88,2024
Madagascar,MDG,2020,409.26163,2020
Madagascar,,,532.2019,2023
Malawi,MWI,2020,400.50198,2020
Malawi,,,525.15204,2023
Malaysia,MYS,2020,35317.523,2020
Malaysia,MYS,2024,38865.867,2024
Maldives,MDV,2020,10117.3125,2020
Maldives,,,14912.831,2023
Mali,MLI,2020,1235.452,2020
Mali,,,1262.197,2023
Malta,MLT,2020,71572.87,2020
Malta,,,71107.69,2023
Mauritania,MRT,2020,4025.4543,2020
Mauritania,,,4142.4756,2023
Mauritius,MUS,2020,17047.527,2020
Mauritius,,,17639.248,2023
Mexico,MEX,2020,16329.474,2020
Mexico,MEX,2024,17653.777,2024
Micronesia (country),FSM,2020,4218.897,2020
Micronesia (country),,,4428.093,2023
Moldova,MDA,2020,12957.657,2020
Moldova,,,11903.726,2023
Mongolia,MNG,2020,18992.549,2020
Mongolia,,,19674.547,2023
Montenegro,MNE,2020,16967.13,2020
Montenegro,,,18582.63,2023
Morocco,MAR,2020,6625.93,2020
Morocco,MAR,2024,7256.846,2024
Mozambique,MOZ,2020,1476.7981,2020
Mozambique,,,1696.6578,2023
Myanmar,MMR,2020,2892.3472,2020
Myanmar,,,2457.1128,2023
Namibia,NAM,2020,6684.0723,2020
Namibia,,,6369.585,2023
Nauru,NRU,2020,26711.46,2020
Nauru,,,29242.105,2023
Nepal,NPL,2020,1574.5149,2020
Nepal,,,1935.3121,2023
Netherlands,NLD,2020,56095.61,2020
Netherlands,NLD,2024,50824.402,2024
New Caledonia,NCL,2020,67648.06,2020
New Caledonia,,,63832.758,2023
New Zealand,NZL,2020,47200.766,2020
New Zealand,NZL,2024,44711.75,2024
Nicaragua,NIC,2020,2969.38,2020
Nicaragua,,,3124.2483,2023
Niger,NER,2020,464.73636,2020
Niger,,,519.35846,2023
Nigeria,NGA,2020,2221.5488,2020
Nigeria,,,2342.6387,2023
North Korea,PRK,2020,8332.383,2020
North Korea,,,6983.9766,2023
North Macedonia,MKD,2020,14801.113,2020
North Macedonia,MKD,2024,16219.917,2024
Norway,NOR,2020,103430.57,2020
Norway,NOR,2024,99634.31,2024
Oman,OMN,2020,79945.42,2020
Oman,OMN,2024,84610.64,2024
Pakistan,PAK,2020,4083.671,2020
Pakistan,PAK,2024,3535.5425,2024
Palestine,PSE,2020,4169.636,2020
Palestine,,,4393.3086,2023
Panama,PAN,2020,19829.697,2020
Panama,,,22862.531,2023
Papua New Guinea,PNG,2020,2062.187,2020
Papua New Guinea,,,2573.4968,2023
Paraguay,PRY,2020,7560.656,2020
Paraguay,,,7541.671,2023
Peru,PER,2020,8766.572,2020
Peru,PER,2024,10941.455,2024
Philippines,PHL,2020,4583.8,2020
Philippines,PHL,2024,5633.132,2024
Poland,POL,2020,29845.54,2020
Poland,POL,2024,29205.824,2024
Portugal,PRT,2020,25577.088,2020
Portugal,PRT,2024,25921.791,2024
Puerto Rico,PRI,2020,21308.352,2020
Puerto Rico,,,25288.041,2023
Qatar,QAT,2020,183122.62,2020
Qatar,QAT,2024,214520.3,2024
